example_id                                                 | status  | run_time        |
---------------------------------------------------------- | ------- | --------------- |
./spec/models/case_html_spec.rb[1:1:1]                     | passed  | 0.00506 seconds |
./spec/models/case_html_spec.rb[1:2:1]                     | passed  | 0.00446 seconds |
./spec/models/case_html_spec.rb[1:2:2]                     | passed  | 0.00396 seconds |
./spec/models/case_party_spec.rb[1:1:1]                    | passed  | 0.00673 seconds |
./spec/models/case_party_spec.rb[1:1:2]                    | passed  | 0.00609 seconds |
./spec/models/case_party_spec.rb[1:2:1]                    | passed  | 0.0259 seconds  |
./spec/models/case_stat_spec.rb[1:1:1]                     | passed  | 0.00352 seconds |
./spec/models/case_stat_spec.rb[1:2:1]                     | passed  | 0.01965 seconds |
./spec/models/case_stat_spec.rb[1:2:2]                     | passed  | 0.11273 seconds |
./spec/models/case_stat_spec.rb[1:2:3]                     | passed  | 0.07183 seconds |
./spec/models/case_stat_spec.rb[1:2:4]                     | passed  | 0.04043 seconds |
./spec/models/case_stat_spec.rb[1:2:5]                     | passed  | 0.04174 seconds |
./spec/models/case_type_spec.rb[1:1:1]                     | passed  | 0.00751 seconds |
./spec/models/case_type_spec.rb[1:1:2]                     | passed  | 0.00678 seconds |
./spec/models/case_type_spec.rb[1:1:3]                     | passed  | 0.00463 seconds |
./spec/models/case_type_spec.rb[1:2:1]                     | passed  | 0.00143 seconds |
./spec/models/case_type_spec.rb[1:3:1]                     | passed  | 0.00462 seconds |
./spec/models/case_type_spec.rb[1:3:2]                     | passed  | 0.00412 seconds |
./spec/models/case_type_spec.rb[1:4:1]                     | passed  | 0.00953 seconds |
./spec/models/counsel_party_spec.rb[1:1:1]                 | passed  | 0.00349 seconds |
./spec/models/counsel_party_spec.rb[1:1:2]                 | passed  | 0.00381 seconds |
./spec/models/counsel_party_spec.rb[1:1:3]                 | passed  | 0.0064 seconds  |
./spec/models/counsel_spec.rb[1:1:1]                       | passed  | 0.00083 seconds |
./spec/models/counsel_spec.rb[1:1:2]                       | passed  | 0.0012 seconds  |
./spec/models/counsel_spec.rb[1:2:1:1]                     | passed  | 0.01 seconds    |
./spec/models/counsel_spec.rb[1:2:2:1]                     | passed  | 0.03138 seconds |
./spec/models/counsel_spec.rb[1:3:1]                       | passed  | 0.01228 seconds |
./spec/models/count_code_spec.rb[1:1]                      | pending | 0.00001 seconds |
./spec/models/count_spec.rb[1:1:1]                         | passed  | 0.00486 seconds |
./spec/models/count_spec.rb[1:1:2]                         | passed  | 0.00362 seconds |
./spec/models/count_spec.rb[1:1:3]                         | passed  | 0.00278 seconds |
./spec/models/count_spec.rb[1:1:4]                         | passed  | 0.00351 seconds |
./spec/models/count_spec.rb[1:1:5]                         | passed  | 0.00327 seconds |
./spec/models/count_spec.rb[1:1:6]                         | passed  | 0.00351 seconds |
./spec/models/count_spec.rb[1:2:1]                         | passed  | 0.0081 seconds  |
./spec/models/county_spec.rb[1:1:1]                        | passed  | 0.00508 seconds |
./spec/models/county_spec.rb[1:1:2]                        | passed  | 0.00561 seconds |
./spec/models/county_spec.rb[1:2:1]                        | passed  | 0.00134 seconds |
./spec/models/court_case_spec.rb[1:1:1]                    | passed  | 0.00515 seconds |
./spec/models/court_case_spec.rb[1:1:2]                    | passed  | 0.00646 seconds |
./spec/models/court_case_spec.rb[1:1:3]                    | passed  | 0.00642 seconds |
./spec/models/court_case_spec.rb[1:1:4]                    | passed  | 0.00097 seconds |
./spec/models/court_case_spec.rb[1:1:5]                    | passed  | 0.00076 seconds |
./spec/models/court_case_spec.rb[1:1:6]                    | passed  | 0.00088 seconds |
./spec/models/court_case_spec.rb[1:1:7]                    | passed  | 0.00081 seconds |
./spec/models/court_case_spec.rb[1:1:8]                    | passed  | 0.00085 seconds |
./spec/models/court_case_spec.rb[1:1:9]                    | passed  | 0.00096 seconds |
./spec/models/court_case_spec.rb[1:1:10]                   | passed  | 0.00097 seconds |
./spec/models/court_case_spec.rb[1:1:11]                   | passed  | 0.00128 seconds |
./spec/models/court_case_spec.rb[1:1:12]                   | passed  | 0.00084 seconds |
./spec/models/court_case_spec.rb[1:1:13]                   | passed  | 0.00096 seconds |
./spec/models/court_case_spec.rb[1:2:1]                    | passed  | 0.0097 seconds  |
./spec/models/court_case_spec.rb[1:2:2]                    | passed  | 0.01001 seconds |
./spec/models/court_case_spec.rb[1:2:3]                    | passed  | 0.01879 seconds |
./spec/models/court_case_spec.rb[1:3:1]                    | passed  | 0.00137 seconds |
./spec/models/court_case_spec.rb[1:4:1]                    | passed  | 0.02713 seconds |
./spec/models/court_case_spec.rb[1:5:1]                    | passed  | 0.02409 seconds |
./spec/models/court_case_spec.rb[1:6:1]                    | passed  | 0.02982 seconds |
./spec/models/court_case_spec.rb[1:7:1]                    | passed  | 0.01931 seconds |
./spec/models/court_case_spec.rb[1:8:1]                    | passed  | 0.02209 seconds |
./spec/models/court_case_spec.rb[1:9:1]                    | passed  | 0.02441 seconds |
./spec/models/court_case_spec.rb[1:10:1]                   | passed  | 0.02476 seconds |
./spec/models/court_case_spec.rb[1:11:1]                   | passed  | 0.02461 seconds |
./spec/models/court_case_spec.rb[1:12:1]                   | pending | 0.00074 seconds |
./spec/models/court_case_spec.rb[1:13:1]                   | passed  | 0.00066 seconds |
./spec/models/doc/alias_spec.rb[1:1:1]                     | passed  | 0.00293 seconds |
./spec/models/doc/alias_spec.rb[1:2:1]                     | passed  | 0.0063 seconds  |
./spec/models/doc/alias_spec.rb[1:2:2]                     | passed  | 0.01615 seconds |
./spec/models/doc/offense_code_spec.rb[1:1:1]              | passed  | 0.00497 seconds |
./spec/models/doc/offense_code_spec.rb[1:2:1]              | passed  | 0.00511 seconds |
./spec/models/doc/offense_code_spec.rb[1:2:2]              | passed  | 0.01746 seconds |
./spec/models/doc/profile_spec.rb[1:1:1]                   | passed  | 0.0179 seconds  |
./spec/models/doc/profile_spec.rb[1:1:2]                   | passed  | 0.0072 seconds  |
./spec/models/doc/profile_spec.rb[1:1:3]                   | passed  | 0.00566 seconds |
