 000040000021-1123.A                               ARKANSAS JURISDICTION                   05-FEB-971996-2007                                             000000009.95
 000040000121-1435                                 COLORADO JURISDICTION                   30-APR-0100CR668-18                                            000000003.00
 000040000221-1731                                 OKLAHOMA COUNTY COURT                   15-JUN-012000-6699                                             000000001.00
 000040000321-797                                  TEXAS JURISDICTION                      30-APR-01B28,824                                               000000003.00
 000040000521-1713                                 MUSKOGEE COUNTY COURT                   19-JUN-011999-1078                                             000000003.00
 000040000621-1544                                 WASHINGTON COUNTY COURT                 21-JUN-011999-171                                              000000005.00
 000040000621-1544                                 WASHINGTON COUNTY COURT                 19-JUN-061999-171                                              000000005.00
 000040000615-765.3                                TULSA COUNTY COURT                      27-OCT-042004-2092                                000000008.00
 000040000615-765.3                                TULSA COUNTY COURT                      27-OCT-042004-2182                                000000008.00
 000040000621-1542                                 WASHINGTON COUNTY COURT                 21-JUN-0199-171                                   000000002.00 000000003.00
 000040000647-11-902.C                             TULSA COUNTY COURT                      22-MAY-18CF-2018-40                                            000000004.00
 000040000621-1544                                 WASHINGTON COUNTY COURT                 21-JUN-011999-171                                              000000010.00
 000040000721-1705                                 MUSKOGEE COUNTY COURT                   21-JUN-012001-309                                              000000001.00
 000040000721-1713                                 MUSKOGEE COUNTY COURT                   21-JUN-012001-309                                              000000001.00
 000040001463-2-402                                TULSA COUNTY COURT                      03-AUG-012001-539                                 000000002.00
 000040001463-2-402                                TULSA COUNTY COURT                      03-AUG-012001-2958                                000000003.00
 000040001463-2-402                                TULSA COUNTY COURT                      13-MAY-02CF-2001-2958                                          000000000.83
 000040001463-2-402                                TULSA COUNTY COURT                      10-FEB-042003-4175
 000040001963-2-402                                TULSA COUNTY COURT                      29-AUG-012001-41                                  000000002.00
 000040002121-1289.18                              MUSKOGEE COUNTY COURT                   12-JUN-012000-826                                              000000003.00
 000040002163-2-402                                MUSKOGEE COUNTY COURT                   18-FEB-032001-1077                                             000000005.00
 000040002163-2-402                                MUSKOGEE COUNTY COURT                   01-NOV-042003-778                                              000000005.00
 000040002163-2-401                                MUSKOGEE COUNTY COURT                   21-APR-082001-1077                                000000005.00
 000040002163-2-402                                MUSKOGEE COUNTY COURT                   21-APR-082003-778                                 000000005.00
 000040002163-2-401                                MUSKOGEE COUNTY COURT                   21-APR-082004-946                                 000000005.00 000000015.00
 000040002163-2-402                                MUSKOGEE COUNTY COURT                   21-APR-082007-540                                 000000005.00
 000040002163-2-401                                MUSKOGEE COUNTY COURT                   04-JUN-102004-946                                              000000015.00
 000040002963-2-401                                MUSKOGEE COUNTY COURT                   11-JUN-012000-488                                              000000005.00
 000040002963-2-401                                MUSKOGEE COUNTY COURT                   11-JUN-012000-488                                              000000005.00
 000040002963-2-402                                MUSKOGEE COUNTY COURT                   07-NOV-032000-488                                              000000005.00
 000040002963-2-402                                MUSKOGEE COUNTY COURT                   07-NOV-032003-303                                              000000005.00
 000040002921-1287                                 MUSKOGEE COUNTY COURT                   07-NOV-032003-303                                              000000005.00
 000040002921-649                                  MUSKOGEE COUNTY COURT                   07-NOV-032003-303                                              000000005.00
 000040003147-11-902                               MUSKOGEE COUNTY COURT                   18-JUN-012001-543                                              000000002.00
 000040003363-2-402                                STEPHENS COUNTY COURT                   02-JUL-012001-50                                               000000002.68
 000040003363-2-402                                STEPHENS COUNTY COURT                   05-JUN-032001-50                                  000000003.00
 000040003721-1713                                 STEPHENS COUNTY COURT                   14-JUN-012001-115                                              000000002.00
 000040003947-11-902.C                             TULSA COUNTY COURT                      29-AUG-012001-660                                 000000003.00
 000040003947-11-902                               TULSA COUNTY COURT                      08-JUL-022001-660                                 000000003.00
 000040003947-11-902                               TULSA COUNTY COURT                      08-JUL-022002-2211                                000000003.00
